Date,Name,Year,Letterboxd URI,Rating
2023-01-16,Jules and Jim,1962,https://boxd.it/28rM,4
2023-01-16,Phenomena,1985,https://boxd.it/1o4s,5
2023-01-16,Barbie in The 12 Dancing Princesses,2006,https://boxd.it/1R34,5
2023-01-16,Youth of the Beast,1963,https://boxd.it/179q,5
2023-02-11,Aftersun,2022,https://boxd.it/Arw0,5
2023-02-24,Monsieur Hulot's Holiday,1953,https://boxd.it/29E8,3
2023-06-13,Platform,2000,https://boxd.it/2O0S,5
2023-06-24,Tokyo Godfathers,2003,https://boxd.it/1Qg2,3
2023-06-25,The Godfather,1972,https://boxd.it/2aNK,5
2023-06-25,The Dictator,2012,https://boxd.it/2DEW,1
2023-06-29,Blow Up My Town,1968,https://boxd.it/FXW,3
2023-06-29,"Hail, Sarajevo",1993,https://boxd.it/5mrC,5
2023-06-29,The Cat with Hands,2001,https://boxd.it/LZ0,3
2023-06-29,Bubu & Bubulina,2015,https://boxd.it/cOis,5
2023-06-29,Larisa,1980,https://boxd.it/7Ce4,5
2023-06-29,La chambre,1972,https://boxd.it/3Gps,2
2023-07-01,Alix's Pictures,1982,https://boxd.it/5YPC,5
2023-07-01,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,1
2023-07-02,Arthur and the Invisibles,2006,https://boxd.it/1Xm2,2
2023-07-02,Arthur and the Revenge of Maltazard,2009,https://boxd.it/1tKI,1
2023-07-02,Arthur 3: The War of the Two Worlds,2010,https://boxd.it/VFO,1
2023-07-02,Lucy,2014,https://boxd.it/75hu,1
2023-07-02,The Fifth Element,1997,https://boxd.it/71k,2
2023-07-02,2012,2009,https://boxd.it/1OE2,1
2023-07-03,Pain and Glory,2019,https://boxd.it/iOBQ,5
2023-07-04,The French Dispatch,2021,https://boxd.it/jLP8,3
2023-07-10,Hugo,2011,https://boxd.it/R08,2
2023-07-14,Amadeus,1984,https://boxd.it/2aH8,5
2023-07-14,The Land of Cards,2013,https://boxd.it/6fWg,1
2023-07-15,Cast Away,2000,https://boxd.it/20i8,2
2023-07-15,The Skin I Live In,2011,https://boxd.it/99A,2
2023-07-15,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,2
2023-07-15,The Little Wars,1982,https://boxd.it/4PNA,5
2023-07-15,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,2
2023-07-17,My Own Private Idaho,1991,https://boxd.it/2ak4,3
2023-07-18,Man With No Name,2010,https://boxd.it/7m3u,5
2023-07-18,Chikan densha: Iyarashii kôi,1993,https://boxd.it/cQL2,5
2023-07-19,The Terminator,1984,https://boxd.it/2aQY,4
2023-07-19,Lost in Translation,2003,https://boxd.it/2b0E,2
2023-07-19,Licorice Pizza,2021,https://boxd.it/qTKY,2
2023-07-20,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,3
2023-07-21,Hieronymus Bosch's Garden of Delights,1981,https://boxd.it/7xmi,5
2023-07-24,Black Panther,2018,https://boxd.it/8MHs,3
2023-07-24,Ave Maria,1972,https://boxd.it/5Z9i,4
2023-07-24,Vive L'Amour,1994,https://boxd.it/2wsa,5
2023-07-24,La Tour Montparnasse Infernale,2001,https://boxd.it/1Mec,2
2023-07-24,Slumdog Millionaire,2008,https://boxd.it/1S3E,3
2023-07-24,Mulholland Drive,2001,https://boxd.it/297o,3
2023-07-24,High Life,2018,https://boxd.it/d6bk,5
2023-07-24,Love & Pop,1998,https://boxd.it/2sv0,5
2023-07-25,Stuart Little 3: Call of the Wild,2005,https://boxd.it/1lO8,1
2023-08-01,Big Hero 6,2014,https://boxd.it/5rje,3
2023-08-04,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,1
2023-08-04,Mais qui a re-tué Pamela Rose ?,2012,https://boxd.it/4tkw,1
2023-08-04,The Devil's Backbone,2001,https://boxd.it/28Li,3
2023-08-12,Jason Bourne,2016,https://boxd.it/ayYy,1
2023-08-12,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,1
2023-08-13,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC,1
2023-08-16,The Gendarme and the Gendarmettes,1982,https://boxd.it/1SMu,1
2023-09-01,Barbie: Princess Adventure,2020,https://boxd.it/rHQM,2
2023-09-14,Kisapmata,1981,https://boxd.it/6sRo,5
2023-10-01,Mysterious Object at Noon,2000,https://boxd.it/3gqu,4
2023-12-26,Coco,2017,https://boxd.it/bYJQ,4
2023-12-28,Bridget Jones's Diary,2001,https://boxd.it/29WQ,2
2023-12-29,Marie Antoinette,2006,https://boxd.it/27Wa,2
2024-02-26,Cutie Honey,2004,https://boxd.it/1CHe,5
2024-03-08,Boogie Nights,1997,https://boxd.it/23um,4
2024-03-27,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,3
2024-04-08,Cars 2,2011,https://boxd.it/H4Y,2
2024-05-04,Truth or Dare,1994,https://boxd.it/RQy,1
2024-05-04,A Touch of Sin,2013,https://boxd.it/5Fvo,4
2024-05-05,Emilie Muller,1993,https://boxd.it/ewEO,4
2024-05-06,In the Darkness of Time,2002,https://boxd.it/awaQ,2
2024-05-06,The Legend of Pipi,2022,https://boxd.it/BOvw,5
2024-05-06,Water for Maya,2000,https://boxd.it/54T4,2
2024-05-16,Ghost in the Shell,2017,https://boxd.it/abTA,1
2024-05-16,Persona,1966,https://boxd.it/29B4,5
2024-05-16,Possum,2018,https://boxd.it/gW5u,1
2024-05-17,Barry Lyndon,1975,https://boxd.it/25A2,4
2024-05-18,City of God,2002,https://boxd.it/2a2a,5
2024-05-21,Challengers,2024,https://boxd.it/zld0,3
2024-05-21,Lady Bird,2017,https://boxd.it/dGNE,2
2024-05-21,Radio Rebel,2012,https://boxd.it/39mq,3
2024-05-21,Pokémon: Lucario and the Mystery of Mew,2005,https://boxd.it/1epg,4
2024-05-21,The Great Gatsby,2013,https://boxd.it/JY,3
2024-05-21,Hidden Figures,2016,https://boxd.it/dgS4,3
2024-05-21,Brother Bear,2003,https://boxd.it/1Xjs,3
2024-05-21,Robin Hood,1973,https://boxd.it/1SRa,3
2024-05-21,Lemonade Mouth,2011,https://boxd.it/4bG,3
2024-05-21,Calvaire,2004,https://boxd.it/1ROk,3
2024-05-21,The Extraordinary Adventures of Adèle Blanc-Sec,2010,https://boxd.it/1cke,3
2024-05-21,The Lion King,1994,https://boxd.it/201Q,2
2024-05-21,Gravity,2013,https://boxd.it/GZY,2
2024-05-21,Samuel,2024,https://boxd.it/LWKk,5
